Paradigms,JudgingType
"Hi, my name is Syed Hasan Rizvi. I am a lay judge, but I will pay attention to the content of the round. Preferences: - talk at a speed at which I am able to understand you. I understand that you have a lot to say, however it is pointless if I cannot understand. - try and stay within time - be polite to one another. I like heated rounds, however rudeness will not be tolerated. - Take note that I may not be able to understand debate terminology Have fun! ",1
"I am the Speech and Debate advisor at BASIS Chandler. I have some experience with debate, but I'm mainly looking at communication. ",1
"I take detailed notes (flow) during the debate. I do not flow cross examinations. If seeing a specific piece of evidence is relevant to the decision I will ask for it. I care about logic and the strength of link chains. The quality of evidence matters. Please extend arguments through the debate. A dropped argument will not hold. The speed arguments are delivered is only an issue when words become garbled and unintelligible. Thus, be very careful spreading if you chose that method. Please try to use all of the time allocated to you.  It is easier for me to follow a debate when I can see the debaters. Have fun and respect the art of debate! ",2
"Hi! My name is Kay Rollins. I am a freshman at Harvard University. I competed for the Potomac School in Virginia for five years, where I did Extemp (and some Oratory and Public Forum debate). Here’s what I generally look for in round:  PF Preferences: 1. Signpost your speeches clearly. If I can't tell where the speech will go before it happens, I will be lost. 2. Weigh your arguments. If you don't tell me WHY your arguments matter, it becomes harder to evaluate those arguments against your opponents. 3. I don't flow cross-ex, but that doesn't mean I'm not listening. Make that time count. 4. NO spreading and NO theory, please 5. Have fun-- if you are relaxed, I will be too. Extemp:  1. No personal AGDs or non-topical AGDs. If the topic is about Syria, don’t compare it to a middle school lunchroom dynamic or a fight with your siblings. 2. Your points should be distinct and clear from each other (ie: no bleed between points) 3. If you have a point about how we should change something, be specific as to what we should change (ie: a certain law, regulation, etc) and how that would happen. 4. Just be yourself. I hate Extemp rounds where everyone is trying to fit into a mold of an extemper that they aren’t comfortable in— the more fun you have, the more I will too.  Interp:1. This mainly goes for DI/POI, but remember: Just because something is sad or shocking (like suicide, assault, etc) doesn't make it a good piece. Additionally, please give the audience a trigger warning before your performance if it includes a depiction of any of these type of events For all events (both speech and debate): 1. Have fun, be respectful, and try to make good arguments (or a good performance) 2. Any discriminatory actions/language will result in an automatic drop Good luck, I look forward to watching your speeches! If you have any problems, email me at kayrollins@gmail.com ",2
"About me: I use she/her pronouns. I did PF at Charlotte Catholic all 4 years of HS. Currently I do American Parliamentary Debate at Yale University as a member of the Yale Debate Association. I'm a Ethics, Politics, and Economics, and Global Affairs double major. Preferences: -For the love of God please be a good person. I totally get the rage that comes from passion in debate but if you're rude and condescending for your own enjoyment I will happily dock your speaker points. -Please please please signpost. It gets so messy when I have no idea where you are on the flow. -Speed is fine with me. -Second rebuttals need to contain not only responses to opp's case but also frontlines/responses to the first rebuttal. -Extend warrants/reasoning/weighing. This is really important for a clean ballot for me. If something is dropped in summary then I'm not voting for it.  -Weighing, if theres a massive clash in the round and your don't tell me why I should prefer your arguments/evidence, then it's either a wash or its the other team's. -I like summaries and FF to mirror each other. Share a coherent message about your side of the round. -Humor and sarcasm are fun and make the round exciting just don't be rude. If you have any questions pls let me know :) ",2
"Hey my name is Venkat Abhishek Sambaraj and I debated all four years of my high school career at local, state, and national level so I am well experienced with the debate community. I focused heavily on Domestic Extemporaneous speaking and Public Forum but also participated in Oratory, Informative, and Congress. My paradigms are as follows: Speech: I weigh analysis over presentation, especially in extemporaneous. Presentation is still required but if you provide solid analysis I may be convinced to give you the higher rank. Oratory and informative of course is all about presentation. Public Forum: Did public forum for three years so I am able to flow and keep track of the round. I like to see clash and please WEIGH, that lets me know what to vote on in the round. Collapsing/crystalizing is important, don't go for every single argument on the flow. Always have frontlines and the second speaking team should address any attacks made by the opponents. I don't really like to see K's and theories in PF, leave that to LD and Policy. If you ask for a card to be looked at, I will most definitely look at it and if I feel there is a card that's been heavily clashed upon I may request it myself once the round ends. Final thing, when it comes to crossfire ask questions that are relevant and don't be a douche when it comes to questioning. I like aggressiveness but as long as it stays respectful and isn't rude. ",2
Good morning; I am a rhetorician. I look for language/definitions - the burden is on the Aff. Evidentiary support is critical - please ensure sources are recent.  ,1
"Hi! I'm Amal, a freshman at Harvard with a background in Congress and APDA. My judging preferences are pretty standard, but here are just a couple of things to keep in mind: -Please don't spread. If you need to go at a speed faster than one typically talks to get all your arguments through, that's totally fine, but you need to be understandable. If you're struggling to breathe, or are mixing up your words, I likely will not be able to make sense of what you're saying either and can't flow your full argument. -No theory. If you try to run theory, I will likely vote for your opponents. I expect competitors to be debating on the topic at hand.  -WEIGH EVERYTHING YOU SAY. You need to spell out for me why your links and impacts matter more than your opponents, and consistently connect every argument you make back to the main debate.  ",2
"I competed in public forum debate for 4 years at Poly Prep (2014-2018), coached Lake Mary Prep HM (2018-2019), and currently coach Poly Prep (2019-2021). Add me to the email chain: hschloss2@gmail.com Don't read blippy turns Do comparative weighing Tell me why your evidence is better Bad evidence bad speaks ",2
"Please be civil at all times, especially (but not only cross), and no ad-homonym attacks ever. I have a severe speech impediment, so I will not be speaking during the round, please keep on time otherwise I will make a big fuss, and if you need prep time, let me know and time yourself (and tell me the time used after). This also means that I will not be giving any verbal feedback.  Otherwise, good luck, have fun! ",2
"I am a lay judge What that specifically entails: 1. No spreading, no blippy arguments, no theory/K's, etc. Moreover, I put a huge emphasis on presentation skills and the ability to speak well/slow/confidently. 2. I need very very very clear warranting, clear link chains, and clear impact analysis. Assume that I am not super well versed in the topic so explain everything. 3. Absolutely no technical terms as there is a high chance I do not know what they mean. This, once again, emphasizes the need to explain everything. ",1
Email: anik.sen@duke.edu. I am a lay judge. Use weighing to write my ballot. Ask me questions if you want to know specific preferences.  Auto 29 speaks if you can speak at a conversational speed the entire round.  ,1
"I am a parent judge and am new to judging. I am also new to the topic, so please explain your arguments thoroughly and avoid jargon. Please do not spread; speak at a reasonable pace. If I cannot follow your argument, i will not vote off of it. Please signpost.      ",1
Background: I have been judging debate tournaments for the past two to three years. I do this as my hobby and passion. Things I like: - Presentation skills - Confidence in your speech and delivery - Well constructed speech along with your introduction and brief about the speech - Provide proper arguments and evidence/background of your speech - Be creative with your arguments and speech Things I don't like: - I don't like when you speak too fast. You can speak fast but need to ensure that others can make sense of it. - Can't show up with the evidence when asked for it - Not able to answer clearly to the point on a question asked you ,2
"This is my first time judging public forum debate and I consider myself an amateur ""parent judge."" With that said, my daughter has been debating for just over a year now at a competitive level and so I am familiar with the layout of the rounds in PF debate. I am comfortable with medium level speed, not too fast, and please speak clearly to ensure accurate delivery of the content. I will flow the debate and make my decision mainly on the strength of the contentions, you win on the basis of evidence & weighing in the final focus. I expect both teams to be respectful of each other. I have a background in Finance and my daughters attend Horace Mann and Bergen County Debate Club. ",1
"I am a lay judge who has judged a few PF debates in the past. Here are my preferences: Please speak slowly, especially when talking about a major argument. No progressive arguments or theory. Please provide good warrants and implications. Also, make clear points while weighing and don't use jargon. I understand that focus is on quality of argumentation and not on speech and delivery. To make it easier to judge please summarize when possible. Please keep track of your own time I don't mind low level interruption and lively back and forth but please don't make it overly aggressive and offensive. ",1
"I am a lay judge I value good speaking and logical arguments Your arguments should be straight forward, understandable with clear impacts Eye contact would be nice Respect each other and good manner are important too Please avoid debate jargon ",1
"Hello, I am Monali (PhD, Health Economics). I am an enthusiastic parent of a middle school debater. This is my third time judging a formal debate and I will be updating my paradigm. I will look for honest, clear, and concise opinions. Debaters’ mannerism in presenting themselves is important to me. I will give points based on the content, presentation, preparation, and background research. I would prefer if the debater can pace themselves and not rush through the content. I can follow a clear speech with decent speed. Speak at a pace that will allow you time to say what you want. Be respectful and sensitive to other team members’ opinions. Use vocabulary that is easily understood with clear diction. And most importantly, learn and have FUN! ",1
"I am an international student at Harvard. I have experience in APDA, BP, and the World Schools formats. Please weigh and please be nice. A few more things: 1. Warranting > evidence 2. I will try my best to understand spreading but I will most likely not understand 300+ WPM.  3. I will evaluate theory on its merits, but please explain everything carefully because I do not have much experience with it.  ",1
"Coach since 1996 - started team at Clover Park High School (3 years) (Coach at Puyallup High School since 2000) Competed in high school and college - Policy, LD,  platforms, and interp.Charter Board member of The Women's Debate Institute General - (scale of 1-10) 1=low, 10 high Speed - 6ish -7 ish, if you are ridiculously clearTopicality - 3 - I have little regard for T, if you are going for it, it better be your only card on the table and the violation should be crystal clear and beyond egregious.Kritical Arguments - depends - I'm very interested in language kritiques, but generally speaking I have little tolerance for po-mo philosophy - I think the vast majority of these authors are read by debaters only in the context of debate, without knowledge or consideration for their overall work. This makes for lopsided and, frankly, ridiculous debates with debaters arguing so far outside of the rational context or the philosopher, as to make it clear as mud and a laughable interpretation of the original work. It's not that I am a super expert in philosophy, but rather a lit teacher and feel like there's something that goes against my teaching practice to buy into a shallow or faulty interpretation (all of those dreary hours of teacher torture working on close reading practices - sigh). Outside of that, I'm interested on a 7ish level. Framework - 9 - I'm all in favor of depth v. breadth and to evaluate the framework of a round or the arguments, I believe, can create a really interesting level of comparison.   What drives me crazy is, what appears to be, the assumption that framework is a done-deal.  That there is only one way to view framework, is faulty and counter-intuitive.  It is the job of both teams to advocate, not just their framework, but the logic behind their framework.Theory - 8ish. While I'm generally fascinated, I can, very quickly be frustrated. I frequently feel that theory arguments are just ""words on the page to debaters"" - something that was bought on-line, a coach created for you, or one of the top teams at your school put together at camp. It quickly falls into the same category as po-mo K's for me.Just a me thing - not sure what else to label this, but I think that I should mention this. I struggle a lot with the multiple world's advocacy. I think that the negative team has the obligation to put together a cohesive strategy. I've had this explained to me, multiple times, it's not that I don't get it - I just disagree with it. So, if at some point this becomes part of your advocacy, know that you have a little extra work to do with me. It's easiest for my teams to explain my general philosophy, by simply saying that I am a teacher and I am involved with this activity bc of its educational value, not simply as a game. So go ahead and lump perf con in with the whole multiple worlds advocacyOk, so my general paradigm is 1.) play nice. I hate when: debater are rude to their own partner, me, the other team. Yes, it is a competition - but there's nothing less compelling than someone whose bravado has pushed passed their ability (or pushed over their partner). Swagger is one thing, obnoxiousness is another. Be aware of your language (sexist, racist, or homophobic language will not be tolerated.  In my mind, this is not just as issue that will affect speaker points but potentially the round.) 2.) Debate is a flexible game; the rules are ever changing. The way that I debated is dramatically, different then the way that is debated today, versus the way that people will debate 20 years from now. I believe this requires me to be flexible in my paradigm/philosophy. However, I, also, believe that it is your game. I hate it when teams tell me over and over again what they believe that they are winning, but without any reference to their opponent’s positions or analysis as to why. Debate is more of a Venn diagram in my mind, than a ""T-chart"". I don't actually believe that anyone is ""tabula rasa"". I believe that when a judge says that, they are indicating that they will try to listen to any argument and judge it solely on the merits of the round. However, I believe that we all come to rounds with pre-conceived notions in our heads - thus we are never ""tabula rasa"". I will try my best to be a blank slate, but I believe that the above philosophy should shed light on my pre-conceived notions. It is your job as debaters, and not mine, to weigh out the round and leave me with a comparison and a framework for evaluation. ",3
"I am a flow judge and am looking for 1. solid logic and reasoning; 2. strong advocacy of your position; 3. clever usage of your evidence and your opponent's; 4. clear communication; 5. I am open to new ideas and out-of-the-box thinking; 6. and, I prefer dialogue to monologue after the initial phase of constructives. Good luck everyone!!  ",2
"Hello, I am a sophomore at the University of Vermont majoring in Chem and Econ and I have debated in the British Parliamentary and Morehouse Social Justice debate styles. Heads-Up: this is my first-time seeing policy forum debate, and this is my first time judging a HS/MS tournament. Best of luck to you all! ",1
"I'm a parent judge, first timer here. Say clearly and articulate your points well. Please be polite, slow. Be respectful. And have fun! ",1
"I did PF at Hamilton for four years on the national circuit. - Tech > Truth, but my threshold for responses to crazy arguments is inherently lower - You don't need defense in first summary unless second rebuttal frontlines - I don't really fw progressive arguments (Theory, K, etc.) - Earlier the weighing the better For email chains, use arsingh4@asu.edu ",2
"hi (: I'm Kiran (she/ her), I'm a sophomore in university studying IA. I did pf for 4 years in hs but consider meflay Also feel free to tell me your pronouns and names before the round starts! Add me to the email chain (kiran70802@gmail.com) General stuff (I'm pretty basic): 1. I can handle speed, but since we're online (and I'm on college wifi), don't go your fastest. 2. Basic jargon is fine (DL, turn, extend, time frame) but don't go crazy 3. I don't write down card names, stats or warrants yes, but not names, sources, or years so if you mention a card name and don't explain it I'll be confused 4. EXTEND your warrants and impacts (quantified preferably) plz -- if you want it voted on, it has to be said in summary AND final focus. Please weigh! 5. I don't know how to evaluate theory and Ks but if you wanna try you can lol 6. Time yourselves 7. If I'm sus of evidence I won't hesitate to call it, but will do so after the round. 8. Finally, don't be rude and have fun! ",2
Please speak slowly and clearly. Respect for your opposing team is crucial. ,1
"I debated CX throughout high school and coached and judged while in college. That was about 30 years ago. I am just getting back into judging, so I may be a bit rusty. Will update paradigm after I've had a few rounds to get back in the groove. For now, a couple of thoughts: * I'm open to your arguments on how I should judge the round. So if you want to advocate for a particular paradigm, feel free. In general, I do appreciate when debaters do a good job of framing the decision. * I really appreciate good signposting. Especially when the debates are online on Zoom, it is much easier to follow when you clearly outline your arguments and help me follow your logic (and your opponent's logic, when you are refuting it) point by point. * I'm ok with speed if that is your preference, but the faster you go, the more important the signposting to ensure your main points stick out. * Please be respectful to your opponents. Thanks! ",2
"add me to the email chain: thadhsmith13@gmail.com I don't live in the United States so it's likely that I'm judging your round very late at night or very early in the morning for me - I apologize if I'm not cheery UPDATE FOR HARVARD '22 England's getting hit by Storm Eunice right now so my internet connection might get pretty spotty - Tab is aware but don't freak out if I drop suddenly, just pause debate and I'll try and rejoin on my phone. Important Disclaimer If your case or speech deals with sexual assault in any way, please give me a heads up. I am perfectly capable of judging you, but I would appreciate a warning so I’m not caught off guard. Background I did debate all through middle and high school and saw some success at the state and national level (10th at Nats in 2019). I coach for a few different middle/high school programs around the Puget Sound area, compete at the university level, and am the content manager for TalkMaze. I’m a graduate student at the University of Essex studying the Theory and Practice of Human Rights. You should read my whole paradigm - Some stuff in PF will be applicable to LD and vice-versa. Evidence Ethics Have them! Don’t paraphrase - I want to see actual cut cards (bonus points if you literally have index cards like they used in the 90s). I typically only call for evidence if it’s been a point of contention throughout the round, but I will follow along with evidence sent in a chain or in chat, and if you disclose I will probably read your evidence. If I see that you’ve misrepresented, miscut, inserted words, or otherwise muddled your evidence, I will not consider it regardless of whether your opponent has called you out. Evidence ethics are a pre-req to debate. Speed  Congress Philosophy i do not like congress please don’t make me judge congress Public Forum Philosophy Debate is a game, and the most important thing to do in a game is to win (the second most important thing is to have fun). To that end, I am generally tech > truth, but if you don’t do a good job weighing or don’t bother explaining your extensions the line between those two will blur. The line-by-line matters a lot. That means you should be frontlining in second rebuttal. That means you should respond to arguments in an order that makes sense (down the flow). That means you should be actively extending your own arguments. I don’t want to extend arguments for you. On the subject of extensions, two notes. First, for an extension to work you need to tell me what the argument is, how it works, and why it’s important. You can always do that in three sentences or less, and if you can’t, your argument probably isn’t realistic. Telling me “extend the Hendrickson card” means nothing to me because I don’t flow evidence names. Second, I'll only let you kick an argument if both sides agree to do it - Just saying ""we aren't gonna go for that"" doesn't mean your opponent can't keep bringing it through. Don't bring up arguments that you can't be bothered to defend throughout the round (this goes double for progressive argumentation). In Public Forum, fiat is almost always going to be a thing. There’s a reason PF topics usually ask “is this policy a good idea” and not “will this thing happen”. That said, politics DAs can work provided they relate to a political consequence of a policy being enacted and not saying that a policy won’t happen because of politics. Kritiks and theory are fine in PF. Be mindful of your time constraints. For kritiks, focus on explaining how your cards work and what the alternative is. For theory, make sure there’s a legitimate violation and that it’s something you’re willing to bet the whole round on. Theory exists to create norms. I won’t vote on frivolous theory and I won’t vote on your shell if you aren’t actively embodying the norm you’re proposing. Flex prep does not exist. “Open” crossfires don’t exist. As a whole, crossfire doesn’t matter that much but you still shouldn’t contradict yourself between cross and speech. Lincoln Douglas Philosophy I strongly dislike util frameworks. That doesn’t mean I won’t vote for them, but you need to go deeper than just “greater good” for me to be convinced. Don’t spread philosophy or theory if you want me to flow it - I read and write it all the time for my dissertation work and I still barely understand it, so I’m not going to understand what you’re saying if you’re going 500 words per minute. If you must spread your framework or K, send me the case or be prepared to explain it again next speech. I enjoy a good framework debate and it’s something that I find is missing from a lot of modern LD rounds. One of the best parts of LD is getting to see how different philosophies engage with each other, and we’re gonna see that thru framing. I’m fine with condo, fiat, counterplans. Don’t paraphrase, don’t rehilight. Don't run frivolous theory. Theory I'm fine with theory as long as it's a legitimate norm and a legitimate violation. Don't run frivolous theory (I'm not going to vote on something like ""debaters should sit during their speeches"", for example) and don't run theory if it isn't a norm you're actively doing yourself (don't run disclosure theory if you didn't disclose either). I don't have a preference on DtD vs. DtA or Competing Interpretations vs. Responsibility. I lean rather heavily towards theory being a RVI, especially in PF debates where it often becomes the only argument in the round. Speaker Points they're dumb, shouldn't be used as a tiebreaker, and mine skew high Backup of this paradigm it's located here ",3
"i did pf for dalton for 4 years and am now a freshman in college debate however you like (as long as you do not make it an unsafe environment for anyone in the room), and i'll adapt to you. just try to have fun :) i'll vote on any argument as long as it is warranted and weighed (and isn't problematic). just weigh any argument you want me to vote on please please i haven't prepped the feb topic at all facebook message me or email me rebeccasolomon@college.harvard.edu for any questions or concerns before or after the round. im happy to discuss!! ",3
"I'm fine with any arguments so long as they are respectful and not offensive. All debaters must speak clearly in order for me to vote. I can only vote on what I hear and understand. I also like to see evidence for the claims made during the debate. I prefer not to intervene, so it's upto debaters to highlight what is important and why I should vote for them. ",2
"I'm a Public Forum coach and big advocate of empowering student voice. It does not matter to me whether you speak quickly or slowly. That's a matter of your own comfort. I will be impressed by sound research, critical thinking and persuasive argumentation. Outline your intentions and accomplishments clearly. More important than anything is respect for your opponents' and the experience of debating. They will present valid arguments too, so don't tell me everything they said was wrong. Be judicious yourself as a debater and consider arguments that are more convincing in terms of impact. Use crossfire to clarify any misconceptions.  It's not a place to bring up new information.  Call cards only when seeing them will bring true value.  Sometimes this is done to stall for time and often that exposes less than stellar evidence.  Be careful not to set this trap for yourself. Don't tell me everything your opponents have done failed, unless it has without question.  Be respectful of all in the room. Most of all, enjoy, reflect and grow from every debating experience. I will try to give you the best feedback I can to help you learn and grow. ",2
"Hello! My name is Victoria and I am a sophomore in college. I did public forum debate from 7th-11th grade, and for that reason am a flow judge. Make sure to extend your arguments throughout the round, address what has been dropped, and address framework (if one is given). In the final speeches, give me clear voters. Logic and reason are still important to me, so just extending an argument isn't enough: explain your link chain, and convince me! I also prefer that teams keep track of their own time, and don't take too long finding and sending cards.  ",2
"I was a speech competitor in the '80s and for the last 6 years have been advising/assisting a team of self-directed debaters some of whom attend camps/private coaching. For the past 4 years I've stepped in to judge PF as the team has grown.  I'm fine with ""speed speaking"" as long as enunciation is not compromised. While  not new to PF debate, I am not immersed in it regularly, so I suggest not using a lot of jargon/and or acronyms without a one time explanation.  ",2
"I am a parent lay judge. I will make an effort to flow - please go slower to help me. Please avoid using jargon and debate terminologies. I like clear and concise arguments with evidence, and, rebuttals that respond to the other side without being condescending. I would like to see you compare your impacts and arguments to your opponents and clearly prove why yours are better. I don't vote on crossfires. So if you have something to say about a crossfire, make sure you bring it up later. Best of luck and have fun! ",1
"I am a lay judge. I am a parent judge. I have judged ~10s of LD, PF debates and few speech formats. I do take detailed notes and I am able to follow fast pace of delivery but not sure if that is enough to qualify me as a ""flow judge"". I will request debates to slow down if I am not able to follow along. I need some time after the debate to cross check my notes tabulate results and come up with a decision, so I would not be able to provide any comments at the end of the debate. I will make all efforts to provide detailed written feedback when I turn in my ballots. I make a good fait assumption that debaters have made all efforts to verify the reliability/credibility/validity of the sources they are citing. If a debater feels otherwise about their opponents sources, I would like to hear evidence. I appreciate civic, respectful discourse. Do not use a lot of debate jargon, the lay judge that I am would not probably not understand most of it. ",1
"Hello everyone! Just a caveat:- Speak at a reasonable speed, you do not have to be slow, just keep a pace that any reasonable person would understand. My judging philosophy is simple; come up with a good structure, logical arguments, short summary speech and I shall consider you. Debating is, according to me, more of what you present and less of what you know. I do not prefer long extensive arguments. Just come on the stage, give me handful strong arguments, do impact assessment of your points, make a few rebuttals and you are good to go. Refer to these specific points- 1. Topic knowledge- You need not be scared from an unknown topic, I won’t judge your past knowledge on the topic, and rather I will give weightage to how you interpret it in the round and explain it initially. But, at the same, you may get some brownie points if you insert a fact and impress me! 2. Jargons & Speed- Do not go too fast in order to keep forth all your points and disturb your flow. Either select a sensible number of points or shorten all of them in order to present them wisely. If I am unable to match the speed, you have the chances to lose. 3. Rebuttals- I would love to hear logical rebuttals from you, but even the wacky ones won’t harm. Make sure you tell me where you are on the flow, and I’ll really like numbering your responses to things, it makes flowing easier for everyone. 4. Summary- A good summary is what I’ll appreciate. Just be very specific in it; you can also add a couple of new points in it but prefer reiterating the previous ones. I am not going to judge you on each and every word you speak but make sure, most of them make sense. Be honest, don’t pretend on the know-how and do well. Feel free to ask me any questions you may have before the round starts. All the best! ",2
"I'm a congress coach now, but did LD throughout high school (in state + nationally). As long as you're clear/do the work for me, I have no preference for/against what you run/do in round. I'll vote off of what you give me. That being said, in the realm of what you choose to run: If you're gonna go hard on FW debates, please have good reason to do so. Again: I'll vote off of what you tell me too, but dang near every debate I've judged since August kids are real messy with it. I don't time roadmaps, but I stress you gotta be clear with that signposting (go down the flow, do voters, doesn't matter just tell me what you're doing when you're doing it). Speed isn't an issue for me, but given we're online and there might be some connection issues I would prefer you don't spread to your fastest degree unless you have wicked WIFI. Avoid flex prep. ",2
"This is my third year as a lay parent PF judge. I am usually familiar with the topics as I am judging tournaments that my daughter participates in, and the AFF and NEG are discussed around the dinner table. Speed is fine, but I find it much more interesting to listen to people talking rather than listen to people reading out loud. When using statistics or quoting numbers, please explain why they are important and how they support your contentions and arguments otherwise I usually find those meaningless. Intense crossfire is great, but please keep it polite and respectful. GOOD LUCK!!! ",1
"My history is such that I have participated in Lincoln-Douglas, Policy, Public Forum, and Congressional debate. The vast majority of it was spent in a very traditional district in Lincoln-Douglas. That being said, I do believe that my varied background does allow for an understanding of progression in each format of debate. I am not entirely shut off to hearing anything, I might not wear a smile on my face about it... but I have voted on things like topicality and theory stuff for me. Now, if we want to get down to the specifics. LD: First and foremost, Lincoln Douglas is evaluative debate. It doesn't always necessarily call for specific action, sometimes (most of the time) it just calls for justifying an action or state. I don't buy that there always has to be a plan. Additionally, I'm of the mindset that there is framework and substance. I tend to favor substance debate a lot more, that being said, if there can be a good amount of discussion on both sides of that, even better. I like to hear about the resolution, policy started to degenerate in my area to a series of Kritiks and bad topicality argumentation. I walk in expecting the resolution... I'd like to talk about things pertaining to the resolution if at all possible. The role of the ballot begins at the beginning as who was the better debater, if you want to change that let me know, but I tend to like it there. Finally, in terms of evidence, I hate calling for cards, but if it is so central and the round leaves everything riding on that piece of evidence I'll call for it. (Also if it's that key, and I for some reason miss it in my flow... Judges are human too.) PF: One integral aspect of Public Forum debate is that it is topical debate. That is a stance that I'm pretty firm on, as such, if you are reliant on frivolous theory, just strike me now. Other than that, feel free to run whatever arguments you like... I don't find that there is ample time to really dive into too much for Kritiks or for theory in general, but if you want to give it a try, go for it... I guess. I just would rather focus on topical debate. One last note, please don't be mean spirited in the round, don't say that something ""literally makes no sense."" Don't tell me there is a flaw, show me the flaw. No calling each other racists or anything like that, it's a learning event, and it's a safe academic space for everyone. In summation, run whatever you are happiest with, I might not be, but it's your show, not mine. Be great, be respectful, have fun.  ",2
